OBJECTID,GEOID20,pct9yEd,pctHSGrad,pctWhtClr,medFamInc,incomeDisp,medHomVal,medGrsRnt,medMthMor,pctHomOwn,pctUnemp,pctPoverty,pct1Parent,pctNoVhcl,pctNoPhone,pctNoPlumb,pctCrowded
35,5.3004E+11,0,98.16000366,36.79000092,52206,2.995729923,217700,,930,79.36509705,5.341879845,5.928850174,0,6.084660053,0,0,0
36,5.3004E+11,0,100,34.45999908,37500,4.659239769,235600,,,82.90820313,3.560830116,6.506849766,28.08510017,0,0,0,0
37,5.3005E+11,1.75999999,96.19999695,69.58999634,91229,2.61274004,333000,937,1811,86.42710114,2.98642993,0,6.190480232,3.692610025,0,0,1.097800016
38,5.3005E+11,0.550000012,98.12000275,57.04000092,110250,3.151740074,347300,1338,1641,75.05090332,4.896709919,1.46104002,24.46809959,0.814664006,0,0,0.916496992
39,5.3005E+11,3.329999924,92.80000305,35.08000183,72860,,244500,1012,1258,69.915802,0,0.236406997,43.06930161,0,0,0,2.888089895
40,5.3005E+11,0,100,51.24000168,69694,,238600,1283,1288,62.27270126,5.221930027,8.854169846,0,0,0,0,4.772729874
41,5.3005E+11,0,100,46.97999954,170625,,333000,,1951,100,0,0,0,0,0,0,0
42,5.3005E+11,0,100,74.56999969,142569,3.60187006,409100,,1976,92.62870026,0,3.152359962,4.825739861,0,0,0,2.503479958
43,5.3005E+11,0,96.51000214,65.61000061,62192,3.352410078,270700,1361,1798,20.7220993,1.182800055,0,74.84140015,12.71590042,1.883829951,0,5.965459824
44,5.3005E+11,5.119999886,94.87999725,34.45000076,57230,3.527610064,,1030,,68.42949677,0,0,44.57830048,2.564100027,0,0,0
45,5.3005E+11,0,98.02999878,53.43999863,105750,,224200,1685,1551,69.9552002,1.453959942,0,26.89080048,15.69509983,0,0,0
46,5.3005E+11,1.580000043,98.41999817,30.89999962,62089,4.650979996,194400,957,1459,20.49690056,2.666670084,2.380949974,66.66670227,7.919250011,0,0,9.006210327
47,5.3005E+11,2.930000067,92.88999939,32.63999939,40726,3.874279976,201900,977,1360,18.38619995,10.37460041,0,92.020401,19.04759979,4.100530148,0,0
48,5.3005E+11,3.819999933,96.18000031,58.06000137,96688,,222900,1094,1360,82.91539764,5.68445015,0,33.07389832,0.783698976,0,0,1.253919959
49,5.3005E+11,0,94.95999908,42.43000031,72955,,208900,1145,1382,82.70140076,1.834859967,0,0,0,0,0,0
50,5.3005E+11,1.159999967,96.20999908,54.06999969,65682,2.695630074,179800,1289,1316,79.16670227,15.94719982,4,91.40399933,0,0,0,0
51,5.3005E+11,0,95.55999756,57.11999893,81717,,246700,1360,1341,21.61170006,7.160190105,4.347829819,83.78379822,0,0,5.494510174,0
52,5.3005E+11,0,96.51999664,33.86000061,71500,4.523489952,209500,1212,1025,58.22510147,8.312129974,1.821859956,36.41460037,5.627709866,2.056279898,0,5.303030014
53,5.3005E+11,10.72000027,85.98000336,31.84000015,52614,,164800,,1155,88.9733963,6.498950005,0,50.50510025,0,0,0,6.844110012
54,5.3005E+11,3.839999914,84.44000244,18.70000076,39256,,147900,1010,1094,79.64600372,13.53139973,0,76.74420166,5.309730053,0,0,0
55,5.3005E+11,3.829999924,92.73000336,46.41999817,59866,2.870569944,218500,1253,1525,28.38139915,6.68693018,2.118639946,48.68799973,1.773839951,4.656320095,0,0
56,5.3005E+11,4.230000019,93.79000092,37.50999832,77039,2.096729994,247100,1259,1422,37.47750092,8.455109596,7.398570061,23.97260094,1.801800013,0,0,9.009010315
57,5.3005E+11,3.309999943,94.62999725,22.01000023,51765,,225000,1185,1425,46.86190033,7.266439915,0,28.68849945,1.882850051,1.882850051,1.882850051,3.138079882
58,5.3005E+11,1.549999952,94.91999817,25.89999962,79286,4.066170216,175800,,1500,64.83049774,8.682629585,4.761899948,74.63410187,0,0,0,0
59,5.3005E+11,2.269999981,97.73000336,24.87999916,40645,3.138829947,,982,,7.083330154,5.333330154,20,45.74470139,4.166669846,0,0,0
60,5.3005E+11,3.75,94.44000244,45.91999817,67083,4.107329845,319700,1153,1462,39.55699921,7.196969986,4.828660011,50.72460175,1.89873004,0,1.054849982,3.691979885
61,5.3005E+11,1.970000029,86.87000275,28.42000008,58690,,238500,883,1308,80.88240051,4.262300014,5.797100067,46.28820038,3.676470041,0,0,4.779409885
62,5.3005E+11,3.279999971,93.54000092,43.93000031,96250,0.967584014,316300,661,1663,90.21109772,5.5240798,0,5.882349968,0,0,0,0
63,5.3005E+11,0,93.69999695,21.31999969,54830,,183800,922,1911,52.97029877,1.335559964,0,44.26229858,0,0,0,4.702970028
64,5.3005E+11,1.75,98.25,41.02999878,109318,,380300,,1819,96.91359711,2.743139982,0,37.14289856,0,0,0,0
65,5.3005E+11,5.889999866,78.76000214,26.5,51463,,85000,641,1170,76.8085022,13.45569992,15.47990036,35.98199844,11.7020998,0,0,12.34039974
66,5.3005E+11,0,98.88999939,54.65000153,173333,,483100,,2363,100,1.862200022,0,7.425739765,0,2.413789988,0,0
67,5.3005E+11,0,100,61.29999924,135521,,384800,1606,2152,82.06900024,4.958680153,0,0,0,0,0,0
68,5.3005E+11,2.25,97.36000061,55.65000153,108889,,286000,1711,1782,75.89929962,5.727379799,0,10.21510029,1.079139948,0,0,0
69,5.3005E+11,0,97.98999786,43.52000046,89904,,268000,1545,1546,76.00550079,1.721169949,0,32.43849945,0.416088998,0.970874012,0,1.525660038
70,5.3005E+11,2.410000086,97.58999634,62.41999817,179271,,480200,,2375,100,0,0,0,3.347280025,0,0,2.5104599
71,5.3005E+11,2.75999999,96.29000092,47.47000122,114511,,304200,1804,1802,92.81580353,2.470010042,0,8.582449913,0,0,0,2.896869898
72,5.3005E+11,0,100,69.16000366,146042,,350000,,1727,100,8.835339546,0,0,6.787330151,0,0,0
73,5.3005E+11,0,100,68.11000061,51438,4.002999783,277100,936,1466,75.06929779,0,0,4.347829819,0,0,0,4.155119896
74,5.3005E+11,2.49000001,93.66999817,57.18999863,146932,3.151740074,393800,2083,2296,97.56690216,3.775170088,1.608579993,14.76889992,0,0,0,6.082729816
75,5.3005E+11,3.369999886,92.79000092,37.40000153,112135,3.473769903,446400,1378,1688,70.10679626,4.934689999,0.961538017,15.24750042,2.491100073,0,0.889680028,8.718859673
76,5.3005E+11,1.25,96.90000153,83.23999786,108796,3.119780064,337200,1757,1616,81.311203,0,0,35.26720047,0,2.837569952,0.293541998,0
77,5.3005E+11,0,91.80999756,23.82999992,62431,,113800,1135,1285,62.43389893,6.221199989,0,42.89690018,2.998239994,0,0,0
78,5.3005E+11,5.46999979,90.69999695,30.20999908,63068,1.892959952,260000,890,1393,51.88679886,2.61097002,0,21.35759926,0,1.677150011,0,3.563940048
79,5.3005E+11,0,98.69999695,56.34000015,113447,4.430819988,361500,,2093,100,3.918720007,3.04956007,29.6875,7.910270214,0,0,0
80,5.3005E+11,4.650000095,89.98999786,52.72999954,76578,,289700,1171,1497,33.96229935,2.941179991,0,0,4.821800232,0,0,0
81,5.3005E+11,0,97.66999817,65.31999969,100757,,307500,,1917,96,0,0,21.63459969,2.222219944,8.148150444,0,0
82,5.3005E+11,0.629999995,99.37000275,75.48999786,202188,3.549119949,590700,,2951,98.17070007,4.417669773,0,3.16456008,0,0,0,0.762194991
83,5.3005E+11,0.680000007,94.33999634,59.34999847,149444,2.407949924,446400,,2267,94.85600281,3.133899927,0.896861017,4.266960144,0,0,0,1.131690025
84,5.3005E+11,1.059999943,96.27999878,54.61000061,146804,,488500,,2640,98.1855011,5.170129776,0.926585972,5.993690014,0.537634015,0.537634015,0,0
85,5.3005E+11,4.340000153,85.52999878,51.97000122,45341,,387700,1193,2188,38.58639908,10.22299957,6.586830139,19.75880051,4.584529877,0,0,2.960839987
86,5.3005E+11,0,94.41000366,49.43999863,113571,,366100,,1954,100,7.454400063,0,7.276120186,8.008210182,10.16429996,0,2.772069931
87,5.3005E+11,0,100,57.38000107,102422,,392300,,2294,100,0,7.711440086,17.40740013,0,0,0,0
88,5.3005E+11,0,93.23000336,43.20000076,118704,5.090680122,266700,,1719,100,6.263979912,0,37.08610153,0,0,0,0
89,5.3005E+11,0.189999998,96.29000092,70.08000183,,5.557829857,278500,1960,1164,48.31309891,0,0,0,25.37109947,0,0,0
90,5.3005E+11,13.11999989,83.51000214,66.08999634,105299,5.25180006,332500,1710,2267,74.30460358,0,10.07999992,17.97039986,8.344369888,0,0,3.311259985
91,5.3005E+11,2.190000057,96.26999664,25.90999985,,,340700,,1361,97.48739624,1.27876997,0,48.20940018,2.34506011,0,0,0
92,5.3005E+11,0,98.87000275,71.58999634,163824,4.254970074,474500,1718,2566,78.19550323,0.789793015,2.240570068,9.816510201,3.853379965,0,0,0
93,5.3005E+11,10.52999973,82.36000061,59.68000031,50804,,342200,1192,2198,67.68920135,7.352940083,0,0,24.94890022,0,0,0
94,5.3005E+11,0,97.45999908,74.47000122,104858,,333700,681,2141,91.36599731,0,2.123549938,7.675909996,0,0,0,0
95,5.3005E+11,0,98.48999786,63.56000137,,,73300,1653,1875,47.79660034,2.113610029,0,92.8934021,0,0,0,0
96,5.3005E+11,0,98.90000153,65.98999786,147209,,393900,2096,1954,93.478302,5.522089958,0,10.9698,2.329190016,0,0,0
97,5.3005E+11,0,99.12999725,58.47000122,141500,,440100,,2222,97.88729858,0,0,0,5.352109909,0,0,0.704225004
98,5.3005E+11,0,98.01000214,83.41000366,146979,,359100,,2134,92.78130341,5.329589844,0,27.20969963,0,0,0,2.760080099
99,5.3005E+11,0,98.80000305,39.75999832,56390,3.167579889,248100,1514,1519,48.1570015,15.17710018,0,41.81819916,17.71699905,0,0,0
100,5.3005E+11,0,97.58000183,57.95999908,80179,,297500,1146,2027,54.06560135,3.285419941,0,0,0,0,0,0
101,5.3005E+11,0,97.11000061,38.68000031,61313,,,1341,,0,7.066050053,0,0,12.36839962,0,0,0
102,5.3005E+11,2.049999952,94.05000305,6.059999943,92938,5.224209785,186200,,1188,72.87779999,2.341599941,0,10.88440037,2.898550034,0,2.898550034,2.691509962
103,5.3005E+11,6.599999905,86.86000061,67.95999908,72829,5.614439964,258300,1049,1319,72.34680176,0,0,59.85919952,25.56049919,5.381169796,2.242150068,0
104,5.3005E+11,0,100,40,65230,,183100,1094,1254,42.85710144,4.984419823,11.76469994,63.55139923,10.42469978,0,0,0
105,5.3005E+11,0,85.25,14.89999962,37500,4.333859921,206100,1021,1438,14.48600006,2.101360083,0,61.46500015,11.99380016,7.165110111,0,0
106,5.3005E+11,0,95.37000275,33.13000107,42035,3.675630093,,950,,0,0,0,100,13.5802002,0,0,0
107,5.3005E+11,5.840000153,84.66999817,45.88000107,106650,3.081670046,194500,,1240,98.49749756,1.734099984,0,65.95739746,4.340569973,0,0,1.168609977
108,5.3005E+11,23.30999947,65.76999664,22.23999977,46731,4.071650028,152700,825,1317,35.43050003,12.18959999,10.18179989,24.40570068,14.23840046,0,3.311259985,18.21190071
109,5.3005E+11,2.029999971,92.37000275,24.78000069,53125,4.445539951,211900,1086,1189,38.81190109,8.602149963,11.03050041,63.50189972,2.079210043,0,0,0
110,5.3005E+11,3,97,53.59000015,59462,,229700,,1627,62.65060043,0,0,3.591160059,9.156629562,0,0,2.650599957
111,5.3005E+11,18.39999962,70.19000244,27.40999985,69854,3.462110043,232900,980,913,68.2256012,2.331190109,6.187620163,15.18220043,1.650619984,0,0,17.46910095
112,5.3005E+11,0,86,24.17000008,,,161600,996,1245,53.4693985,21.31150055,11.90480042,17.43770027,0,11.02040005,0,0
113,5.3005E+11,19.57999992,68.87999725,22.84000015,30708,4.711780071,146400,929,1286,28.75989914,14.11480045,0,100,11.87339973,8.707119942,0,5.277040005
114,5.3005E+11,1.360000014,98.63999939,37.90999985,80553,2.88041997,217400,,2074,70.69409943,0,0,92.12599945,0,0,0,0
115,5.3005E+11,9.970000267,89.01999664,17.80999947,63750,3.912019968,197200,920,1265,53.44200134,4.619969845,0,46.37680054,11.77540016,0,0,3.26086998
116,5.3005E+11,0.529999971,83.98999786,11.75,29252,4.165219784,269400,917,,5.54324007,7.808559895,0,70.19229889,9.977829933,0,0,10.42129993
117,5.3005E+11,1.539999962,94,26.87999916,59310,,232800,1071,1310,63.04349899,5.591400146,0,33.33330154,3.105590105,0,0,4.658390045
118,5.3005E+11,12.35000038,73.02999878,24.59000015,49692,2.936009884,197700,1059,1451,48.36309814,4.111249924,6.708600044,53.0685997,0.892857015,0,0,8.035710335
119,5.3005E+11,0,97.72000122,35.24000168,38726,3.48409009,262900,799,960,48.76959991,11.76469994,9.46502018,92.51699829,6.935120106,0,0,0
120,5.3005E+11,5.639999866,92.80999756,28.96999931,83065,3.61868,196800,1167,1294,80.76920319,3.35484004,0,42.30770111,0,0,0,0
121,5.3005E+11,2.039999962,94.80999756,22.09000015,60300,3.39015007,218200,1075,1513,71.02799988,9.564169884,11.45829964,18.51059914,1.713400006,0,4.517129898,0
122,5.3005E+11,0,96.05999756,46.65000153,63726,,165000,,1383,100,0,15.74069977,0,0,0,0,0
123,5.3005E+11,0,93.38999939,42.38000107,72857,,233900,,1555,85.23490143,5.475500107,0,0,0,0,0,0
124,5.3005E+11,2.380000114,97.62000275,36.52000046,78226,5.164790154,271700,,1435,97.02480316,8.315099716,0,0,0,0,0,2.479340076
125,5.3005E+11,8.140000343,77.94999695,8.430000305,53650,6.378240108,219500,1724,1542,55.21239853,2.923979998,0,71.53279877,6.177609921,0,0,0
126,5.3005E+11,0,89.23000336,15.97999954,42862,,165200,646,1018,35.26010132,0,0,0,0,0,0,0
127,5.3005E+11,9.81000042,74.70999908,10.06999969,46453,5.082089901,125500,1098,1036,27.29360008,0,0,89.23400116,0,0,0,3.669719934
128,5.3005E+11,23.04999924,60.59000015,6,27360,,,1054,,0,24.88339996,12.92679977,49.3946991,9.984869957,6.354010105,0,16.64150047
129,5.3005E+11,7.230000019,85.69000244,10.35999966,28906,4.751309872,210400,877,1377,14.47229958,1.150750041,3.571429968,78.66000366,26.98590088,0,0,13.92819977
130,5.3005E+11,9.739999771,88.16000366,0,25310,4.062849998,152600,,1755,25.53190041,0,0,93.18180084,33.77659988,3.457449913,0,0
131,5.3005E+11,3.789999962,81.54000092,10.72000027,34000,4.028279781,169500,731,1429,69.11109924,6.941430092,10.94890022,53.27099991,10.44439983,0,0,2
132,5.3005E+11,6.980000019,88.51000214,32.52999878,53911,,182200,886,1138,42.18180084,7.006370068,0,22.93580055,5.818180084,0,0,0
133,5.3005E+11,11.06000042,77.16999817,15.86999989,58506,,124700,895,1194,46.38219833,4.581669807,0,45.60910034,4.452690125,0,0,0
134,5.3005E+11,16.97999954,59.95000076,13.22000027,54938,3.352410078,159100,991,1210,63.40060043,5.279029846,0,25.68490028,1.729110003,0,0,3.458209991
135,5.3005E+11,13.63000011,64.94999695,27.72999954,48712,5.151710033,230500,1090,1396,39.26169968,11.67800045,8.910889626,60.9756012,7.550340176,6.040269852,0,8.389260292
136,5.3005E+11,15.64999962,84.34999847,4.420000076,69333,,200600,,1137,80.25479889,0,0,3.921570063,0,0,0,1.910830021
137,5.3005E+11,8.960000038,83.83999634,11.81000042,38807,1.720989943,,939,1875,34.0326004,7.142859936,13.84619999,55.55559921,2.097899914,2.797199965,0,6.293710232
138,5.3005E+11,0.540000021,92.11000061,27.64999962,91618,2.813410044,273200,,1687,94.27480316,7.012989998,0,18.5,0,0,0,0
139,5.3005E+11,0,97.54000092,33.77999878,85417,,226900,,1610,100,5.462180138,0,17.8885994,0,0,0,0
140,5.3005E+11,0,95.48999786,39.02000046,62000,3.912019968,245900,,1860,95.89040375,0,0,0,4.109590054,4.109590054,4.109590054,4.109590054
141,5.3005E+11,0.800000012,82.11000061,50.18999863,90558,,276500,,1761,92.91470337,2.453989983,0,20.90589905,3.542670012,1.771340013,0,1.288239956
142,5.3005E+11,5.849999905,84.27999878,38.93000031,117974,5.585999966,325400,1276,1578,91.96260071,1.951220036,8.474579811,3.773580074,0,2.242990017,0,5.981309891
143,5.3005E+11,12.06999969,85.29000092,21.35000038,,5.703780174,217600,,1321,94.81710052,13.17070007,23.24839973,8.629440308,0,0,0,0
